,Unnamed: 0,division,district,thana,lat,long,geohash
286,448,Rangpur,Panchagarh,Tentulia,26.5170069,88.4306955,tuwyu732b83
287,452,Mymensingh,Netrakona,Atpara,24.8097761,90.8603645,wh2t5s6rrvq
288,457,Chittagong,Rangamati,Jurai Chhari,22.6708223,92.3788939,wh18yph705x
289,459,Khulna,Jessore,Jhikargachha,23.0999066,89.0991083,tup77mpyxww
290,460,Rajshahi,Natore,Baraigram,24.284137,89.1324866,tur6hkb337p
291,462,Chittagong,Chittagong,Sitakunda,22.6170686,91.68092829999999,wh10wm21brn
292,465,Mymensingh,Jamalpur,Jamalpur Sadar,24.9074436,89.95016980000001,turvwy78qu5
293,474,Rajshahi,Pabna,Faridpur,24.1554753,89.4443257,tur97m77gfg
294,479,Chittagong,Cox's Bazar,Pekua,21.817199,91.955116,w5ckh7xwms8
295,480,Khulna,Bagerhat,Chitalmari,22.7866641,89.8692203,tupcth0vbw5
296,482,Rangpur,Kurigram,Phulbari,25.9490674,89.5521217,tuxetgcu78v
297,485,Dhaka,Narsingdi,Manohardi,24.1659585,90.73427339999999,wh292xq8vv1
298,486,Sylhet,Sylhet,Kanaighat,,,
299,488,Rajshahi,Sirajganj,Belkuchi,24.3101137,89.7192132,turf39e89jw
300,489,Dhaka,Shariatpur,Zanjira,23.345595,90.30085670000001,wh0hycgjfqr
301,491,Rajshahi,Natore,Natore Sadar,24.4021576,88.99880979999999,tur6c4qbyef
302,493,Barisal,Barisal,Hizla,22.928412,90.44125489999999,wh066jcr9vz
303,495,Mymensingh,Netrakona,Kalmakanda,25.0765713,90.88896779999999,wh2wsjp3d7w
304,496,Chittagong,Lakshmipur,Ramgati,22.6529135,90.93429730000001,wh08v7b6f9n
305,500,Chittagong,Cox's Bazar,Maheshkhali,21.5834097,91.9294681,w5c6gchurz5
306,501,Barisal,Bhola,Tazumuddin,22.4179785,90.85083449999999,w5bxe35d1yh
307,502,Barisal,Bhola,Burhanuddin,22.4752515,90.7152749,w5bxb72zg4e
308,506,Chittagong,Comilla,Debidwar,23.593449,91.0011902,wh0wnz11c3t
309,507,Rangpur,Panchagarh,Boda,26.2474396,88.6144839,tuxj26pn7jk
